t,src,nbr,cluster,attack_type,attack_active,B,C,S,H,rho,trust_before,action,trust_after,pdr,delay_norm,qos,reward,reward_base,gray_penalty,onoff_penalty,collusion_penalty,pred_malicious,true_malicious,route_score,selected_next_hop
2,5,18,0,none,0,0.9166666865348816,0.907803475856781,0.0,0.0,0.0,0.6000000000000001,2,0.6500000000000001,1.0,0.055766004903887396,0.9832701985288337,0.9804818982836394,0.9804818982836394,0.0,0.0,0.0,0,0,0.6691445694850918,18
2,5,25,0,none,0,0.8333333134651184,0.8795911073684692,0.0,0.06804138422012329,0.0,0.5,2,0.55,0.9,0.10140710831511056,0.8995778675054669,0.8645075120897113,0.8645075120897113,0.0,0.0,0.0,0,0,0.5898522536269134,18
2,6,5,0,none,0,0.9166666865348816,0.8874382972717285,0.0,0.03928371146321297,0.0,0.45,2,0.5,1.0,0.05168769903745696,0.9844936902887629,0.98190930533689,0.98190930533689,0.0,0.0,0.0,0,0,0.594572791601067,18
2,6,11,0,onoff,1,0.3333333432674408,0.8129648566246033,0.0,0.0,0.0,0.4,1,0.4,0.3,0.2336353957691785,0.43990938126924645,0.2182276114807875,0.2182276114807875,0.0,0.0,0.0,1,1,0.35396828344423625,18
2,6,18,0,none,0,0.9166666865348816,0.9033448100090027,0.0,0.0,0.0,0.6000000000000001,2,0.6500000000000001,1.0,0.0512174371340705,0.9846347688597787,0.9820738970030753,0.9820738970030753,0.0,0.0,0.0,0,0,0.6696221691009225,18
2,6,25,0,none,0,0.9166666865348816,0.9162354469299316,0.0,0.03928371146321297,0.5,0.6000000000000001,2,0.6500000000000001,1.0,0.06237745481553569,0.9812867635553393,0.9781678908145625,0.9781678908145625,0.0,0.0,0.0,0,0,0.6459503663502991,18
2,7,0,0,grayhole,1,0.4166666567325592,0.8356415629386902,0.0,0.03928371146321297,0.0,0.55,1,0.55,0.4,0.2305112943058744,0.5108466117082376,0.319321046992944,0.319321046992944,0.0,0.0,0.0,0,1,0.4537963140978832,8
2,7,8,0,none,0,0.9166666865348816,0.9144945740699768,0.0,0.0,0.0,0.6000000000000001,2,0.6500000000000001,1.0,0.09203147766397729,0.9723905567008068,0.967788982817608,0.967788982817608,0.0,0.0,0.0,0,0,0.6653366948452824,8
2,7,14,0,none,0,0.9166666865348816,0.9063242077827454,0.0,0.03928371146321297,0.5,0.5,2,0.55,1.0,0.058925104410869254,0.9823224686767391,0.9793762134561957,0.9793762134561957,0.0,0.0,0.0,0,0,0.596312863142789,8
2,7,22,0,onoff,1,0.25,0.7980126738548279,0.0,0.06804138422012329,0.8660253882408142,0.55,0,0.5,0.2,0.32917023522792477,0.34124892943162255,0.06729041767022637,0.08479041767022635,0.024999999999999994,0.0,0.0,0,1,0.3304659828302312,8
2,7,39,0,none,0,0.9166666865348816,0.922508180141449,0.0,0.0,0.0,0.5,0,0.45,1.0,0.0654937470906312,0.9803518758728106,0.9770771885182791,0.9770771885182791,0.0,0.0,0.0,1,0,0.5681231565554837,8
3,0,7,0,none,0,0.9166666865348816,0.8170521855354309,1.0,0.0,0.0,0.55,2,0.6000000000000001,1.0,0.30018702185108964,0.9099438934446731,0.8949345423521187,0.8949345423521187,0.0,0.0,0.0,0,0,0.513480364493775,7
